OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape__Area,Shape__Length
42412,2018,CA,BLM,CND,HOT CREEK,00001396,2018/07/31 00:00:00+00,2018/08/29 00:00:00+00,1,,436,436.23019409,1,1,,2825221.89519241,12650.1196530367
42413,2018,CA,BLM,NOD,TUMBLEWEED,00002938,2018/06/14 00:00:00+00,2018/06/19 00:00:00+00,10,,645.7,645.41143799,7,1,,4507079.97921484,14778.2053823307
42414,2018,CA,BLM,NOD,EAGLE,00003575,2018/07/14 00:00:00+00,2018/08/06 00:00:00+00,2,,2066,2097.87548828,7,1,,15040918.0347015,18179.7783321187
42415,2018,CA,BLM,NOD,LIKELY,00004138,2018/08/05 00:00:00+00,2018/08/07 00:00:00+00,10,,15.7,16.19205284,1,1,,116155.170307625,1806.16309193085
42416,2018,CA,BLM,CND,MCGEE,00001743,2018/08/30 00:00:00+00,2018/09/02 00:00:00+00,14,,10,11.7364397,1,1,,75817.12993779,1356.10087540863
42417,2018,CA,BLM,NOD,CONSTANTIA,00003450,2018/08/05 00:00:00+00,2018/08/06 00:00:00+00,,,,11.72882175,1,1,,80896.57200891,1606.83953564663
42418,2018,CA,NPS,YNP,UNICORN,,2018/07/29 00:00:00+00,2018/11/30 00:00:00+00,1,Unicorn 2018CAYNP-63,0,2.77279592,1,1,,18026.75748212,607.924946723049
42419,2018,CA,NPS,YNP,TILTILL,,2018/07/13 00:00:00+00,2018/08/21 00:00:00+00,1,WFMI 726787 Tiltill 2018CAYNP-55,0,14.11243057,1,1,,91973.0907109,2056.81380953205
42420,2018,CA,NPS,RNP,LIMANTOUR,,2018/07/09 00:00:00+00,2018/07/10 00:00:00+00,10,Limantour 2018CARNP-18,0,1.36232412,1,1,,8853.52901792,644.803535318011
42421,2018,CA,NPS,CNP,SANTA CRUZ,,2018/03/27 00:00:00+00,2018/04/05 00:00:00+00,18,on TNC lands,0,258.63864136,1,1,,1525346.65889614,17938.5034220002
42422,2018,CA,NPS,KNP,EDEN,,2018/10/04 00:00:00+00,2018/12/04 00:00:00+00,1,Eden 2018CAKNP-16,0,1777.23156738,5,1,,11128713.9450338,15865.3825164242
42423,2018,CA,NPS,SMP,SERRA,,2018/01/29 00:00:00+00,2018/01/30 00:00:00+00,14,"Serra 1/29/2018, LACFD reported 2acres. Some susp*",0,2.60003543,8,1,,15365.12775706,812.743123354565
42424,2018,CA,NPS,KNP,THARPS,,2018/10/12 00:00:00+00,2018/11/28 00:00:00+00,1,Tharps 2018CAKNP-17,0,1.36387384,1,1,,8573.98507531,830.413822877817
42425,2018,CA,NPS,KNP,DENNISON,,2018/10/13 00:00:00+00,2018/12/04 00:00:00+00,1,Dennison 2018CAKNP-17,0,87.05397797,5,1,,543903.474405865,4106.20069826419
42426,2018,CA,NPS,SMP,KNOLLS,,2018/10/19 00:00:00+00,2018/10/20 00:00:00+00,4,"Knolls 10/19/2018 0046hr, Campfire = cooking fire*",0,1.21344805,8,1,,7171.232573035,474.976090752375
42427,2018,CA,NPS,YNP,INDIAN,,2018/09/04 00:00:00+00,2018/11/26 00:00:00+00,1,WFMI 726788 Indian 2018CAYNP-85,0,358.38201904,1,1,,2326411.13980819,10069.1350932502
42428,2018,CA,NPS,KNP,HORSE CREEK,,2018/07/19 00:00:00+00,2018/09/06 00:00:00+00,1,Horse Creek 2018CAKNP-85,0,34.50867462,7,1,,216188.57634471,3624.54944450134
42429,2018,CA,NPS,YNP,RANCHERIA,,2018/09/08 00:00:00+00,2018/11/30 00:00:00+00,1,WFMI 726785 Rancheria 2018CAYNP-91,0,54.74781418,7,1,,356834.286449135,3080.46710899898
42430,2018,CA,NPS,SMP,CORNELL,,2018/05/29 00:00:00+00,2018/05/30 00:00:00+00,14,"Cornell 5/29/2018 1400hr, Equipment, cause = NPS *",0,0.87380928,8,1,,5173.267302095,298.061376273083
42431,2018,CA,NPS,KNP,NORTH BUBBS,,2018/08/01 00:00:00+00,2018/09/06 00:00:00+00,1,North Bubbs 2018CAKNP-10,0,173.45657349,7,1,,1096780.94131054,6271.43943570622
42432,2018,CA,BIA,,AGUA CALIENTE,00010608,2018/07/09 00:00:00+00,2018/07/10 00:00:00+00,11,,,108.66139221,1,1,,637943.04343917,8232.81649860454
42433,2018,CA,BIA, ,MARTINEZ,00011326,2018/07/25 00:00:00+00,2018/07/26 00:00:00+00,14,,,24.77532578,7,1,,144773.74931777,1974.37415827635
42434,2018,CA,CDF,LNU,PAWNEE,00009002,2018/06/23 00:00:00+00,2018/07/05 00:00:00+00,14,,,15196,2,1,,102191530.303575,148744.005784788
42435,2018,CA,CDF,SLU,WATER,00005348,2018/05/24 00:00:00+00,2018/05/24 00:00:00+00,11,Electrical Power,88,87.86207581,1,1,,537762.546247895,4458.32059013027
42436,2018,CA,CDF,SLU,RANGE,00001191,2018/02/12 00:00:00+00,2018/02/12 00:00:00+00,9,Munitions (Star Cluster) during military training,1.4,5.25598001,7,1,,32041.103030815,676.430612672391
42437,2018,CA,CDF,SLU,VINEYARD,00005561,2018/05/30 00:00:00+00,2018/05/30 00:00:00+00,2,Mowing,25,25.31846046,6,1,,155858.84221989,2373.41049827729
42438,2018,CA,CDF,SLU,RESORT,00005781,2018/06/13 00:00:00+00,2018/06/13 00:00:00+00,14,,13,12.95727825,1,1,,79797.468315605,2324.57871367597
42439,2018,CA,CDF,SLU,TOWNSITE,00006111,2018/06/12 00:00:00+00,2018/06/12 00:00:00+00,2,,6,5.65135479,6,1,,34247.641793865,969.556173017283
42440,2018,CA,CDF,SLU,VISTA,00006149,2018/06/13 00:00:00+00,2018/06/13 00:00:00+00,2,Mowing,60.2,59.22105789,7,1,,363906.79639112,4434.40165213589
42441,2018,CA,CDF,SLU,CRESTON,00006206,2018/06/14 00:00:00+00,2018/06/14 00:00:00+00,10,Vehicle exhaust,60,56.45402908,1,1,,346219.028119795,2937.64568445422
42442,2018,CA,CDF,SLU,CAMP,00007640,2018/07/17 00:00:00+00,2018/07/17 00:00:00+00,11,,14,13.53526974,1,1,,83231.816325285,1278.48880879263
42443,2018,CA,CDF,SLU,MATTIE,00007651,2018/07/17 00:00:00+00,2018/07/17 00:00:00+00,10,,0.5,0.781524,1,1,,4741.49384875,449.311715744337
42444,2018,CA,CDF,SLU,ALMOND,00007433,2018/07/12 00:00:00+00,2018/07/12 00:00:00+00,11,,2.9,3.66204619,7,1,,22434.752458935,840.696082568345
42445,2018,CA,CDF,SLU,CREEK,00009022,2018/08/19 00:00:00+00,2018/08/19 00:00:00+00,2,Mowing,3,3.03900027,7,1,,18600.8741084,771.357413914406
42446,2018,CA,CDF,SLU,ANTELOP,00009739,2018/09/06 00:00:00+00,2018/09/06 00:00:00+00,10,,0.5,0.41421059,1,1,,2549.165559385,246.315767849712
42447,2018,CA,CDF,SLU,SHANDON,00010529,2018/09/29 00:00:00+00,2018/09/29 00:00:00+00,14,,80,80.10157776,7,1,,491842.669066005,3616.59279724039
42448,2018,CA,CDF,SLU,RESERVOIR,00010073,2018/09/16 00:00:00+00,2018/09/16 00:00:00+00,11,Electrical Power,53,51.21738434,7,1,,311900.107983995,4045.66352709078
42449,2018,CA,CDF,SLU,COLONY,00010007,2018/09/14 00:00:00+00,2018/09/14 00:00:00+00,11,Electrical Power,2,2.11091113,7,1,,12862.68487775,776.509925889187
