0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
31.8,d_20060101,10,5,1.6,0.7,0.3,0,58.4,48.2,28.2,14.9,2.9
39.1,d_20060201,18.8,7.2,1.8,0.6,0,0,42.1,30.3,6.4,2.1,0.4
36.3,d_20060301,14.1,6.2,0.9,0,0,0,49.6,39.4,15.5,2.3,0.3
24.4,d_20060401,13.8,8.5,1.1,0,0,0,61.9,50.9,31.6,12.5,0.3
20,d_20060501,17.7,12.9,5.9,2.1,0,0,62.3,50.5,29.8,9.2,0.1
19.7,d_20060601,19.5,13.7,6.4,2.1,0.2,0,61,49.1,29.2,9.1,0.1
13.3,d_20060701,25.8,21.1,14.9,12.7,9.2,0,61,52.6,34.7,14,0.3
14.6,d_20060801,23.4,18.1,13.6,11.3,7.7,0,62.1,56,38.2,20.8,0.6
28.6,d_20060901,16.8,13.6,10.4,7.5,1.6,0,54.7,35.8,2.8,0.4,0
34.1,d_20061001,18,12.6,5.7,1.7,0,0,48,28.1,1.3,0.1,0
30.7,d_20061101,17.1,11.4,4.7,1.4,0,0,52.2,41.2,12,1.1,0
55.9,d_20061201,30.9,20.1,9.7,6.1,2,0,13.1,1.9,0,0,0
4.9,d_20070101,95.1,88.9,53.9,30.3,12.4,0,0,0,0,0,0
9.1,d_20070201,90.8,75.5,40.6,22.3,11.9,0,0,0,0,0,0
4.8,d_20070301,95.1,91.3,63.7,40,19.2,0,0,0,0,0,0
5,d_20070401,95,91.1,61.4,43.4,23.1,0,0,0,0,0,0
3.7,d_20070501,96.4,93.9,67.5,46.6,27.4,0,0,0,0,0,0
3.9,d_20070601,96.1,93.5,64.3,45.7,24.8,0,0,0,0,0,0
5.5,d_20070701,94.5,88.1,58.9,46.8,33,0,0,0,0,0,0
3.9,d_20070801,96.2,90.4,56.1,37,21.3,0,0,0,0,0,0
3,d_20070901,97,90.8,40,14.9,5.7,0,0,0,0,0,0
37.6,d_20071001,61.3,44.6,18.9,9.4,4,0,1.2,0.1,0,0,0
11.4,d_20071101,87.6,80.7,60.5,37.1,13.2,0,0.9,0,0,0,0
33.4,d_20071201,63.1,39.1,8.5,2.9,0.5,0,3.4,0.1,0,0,0
68.6,d_20080101,4.7,2.4,0.3,0,0,0,26.6,8.8,0.2,0,0
78.7,d_20080201,5,2.1,0,0,0,0,16.3,2,0,0,0
73.1,d_20080301,25.7,6.3,1.2,0.4,0,0,1.2,0.1,0,0,0
55.7,d_20080401,43.7,17.2,2,1.2,0,0,0.6,0,0,0,0
51.3,d_20080501,48,21.7,2.7,1.6,0.6,0,0.8,0,0,0,0
46.9,d_20080601,52.9,26.6,2.9,1.6,0.7,0,0.1,0,0,0,0
42.7,d_20080701,55.8,30.6,3.8,1.7,0.8,0,1.5,0,0,0,0
58.4,d_20080801,38.7,14.5,2.3,0.9,0,0,2.9,0,0,0,0
58.2,d_20080901,40.6,21,4,1,0,0,1.3,0,0,0,0
2.9,d_20081001,97.1,95,79.8,56.3,20.7,0,0,0,0,0,0
9.4,d_20081101,88.9,83.1,69.2,56.8,29.9,0,1.7,0.5,0,0,0
23,d_20081201,64.5,54.4,21.4,5.6,0.9,0,12.7,6.4,0.3,0,0
28.3,d_20090101,66.8,50.9,26.8,15.6,2.1,0,4.9,1.3,0,0,0
49.1,d_20090201,44.9,24.9,11,5,2,0,5.8,2.1,0,0,0
39.3,d_20090301,58,30.4,8.2,1.7,0,0,2.5,0.1,0,0,0
28.4,d_20090401,70.8,42,11.3,2.8,0.1,0,0.7,0.1,0,0,0
32.9,d_20090501,66.9,41.6,8.3,1.9,0.1,0,0.2,0,0,0,0
44.3,d_20090601,55.5,27.1,2.5,0,0,0,0.3,0,0,0,0
50.6,d_20090701,48.8,20.9,1.4,0,0,0,0.5,0,0,0,0
37.9,d_20090801,62.1,30.8,1.7,0,0,0,0,0,0,0,0
31.6,d_20090901,68.4,42.2,16,7.5,1.3,0,0,0,0,0,0
53.9,d_20091001,29.6,21.2,10.1,5.4,1.3,0,16.5,6.9,0.1,0,0
37.6,d_20091101,62.2,47.7,36.9,33,27.8,0,0.3,0,0,0,0
52.2,d_20091201,46.4,29.4,11.9,5.8,1.6,0,1.5,0.2,0,0,0
46.9,d_20100101,5.4,0.8,0,0,0,0,47.6,21.7,1.6,0,0
37.8,d_20100201,9,4.8,0.1,0,0,0,53.2,30.4,1.1,0,0
58.2,d_20100301,12.1,6.5,2.3,0.3,0,0,29.7,8,0.1,0,0
46.4,d_20100401,5.9,3.6,0.1,0,0,0,47.7,16.9,0.3,0,0
46.7,d_20100501,5.8,3.3,0.1,0,0,0,47.4,20.3,1.1,0,0
44.7,d_20100601,4.8,1.2,0,0,0,0,50.5,23.2,2.8,0,0
56.4,d_20100701,4.7,1.3,0,0,0,0,38.9,19.5,4.8,0.1,0
38.4,d_20100801,3.5,0.5,0,0,0,0,58.1,28.1,4.2,0.3,0
36.8,d_20100901,3,0.3,0,0,0,0,60.2,29.6,3.2,1.3,0
52.8,d_20101001,4.6,1.1,0,0,0,0,42.7,20.7,1.5,0,0
38.3,d_20101101,15.8,9.1,2.6,0.8,0,0,46,26.1,5.8,0.4,0
6.8,d_20101201,1.3,0.3,0,0,0,0,91.9,87.1,65.9,46.2,26.5
41.3,d_20110101,2.5,1.3,0,0,0,0,56.2,44.6,17.2,4.9,0.2
45.9,d_20110201,0.3,0,0,0,0,0,53.9,38.1,7.4,0.9,0
24.4,d_20110301,1.6,0,0,0,0,0,74.1,54.9,22.4,6.2,0
26.8,d_20110401,0.2,0,0,0,0,0,73,46,13.4,1.1,0
22.9,d_20110501,0,0,0,0,0,0,77.1,52,16.8,3.1,0
16.2,d_20110601,0,0,0,0,0,0,83.8,60.4,21.4,7.9,0
29.3,d_20110701,0.8,0,0,0,0,0,69.9,44.4,13.3,1.8,0
23.7,d_20110801,0.4,0.2,0,0,0,0,75.9,47,8.3,1.1,0
71,d_20110901,12.6,2.9,0,0,0,0,16.3,2.2,0,0,0
38.7,d_20111001,2.5,0.1,0,0,0,0,58.8,40.5,7.1,0.8,0
32.6,d_20111101,4.3,1,0,0,0,0,63.1,44,3.3,0.1,0
30.1,d_20111201,68.1,39.8,4.4,0.9,0.1,0,1.8,0,0,0,0
31.7,d_20120101,68.3,32.3,6.1,2.2,0.6,0,0,0,0,0,0
10.6,d_20120201,89.4,79.7,43.4,17.9,4,0,0,0,0,0,0
11.7,d_20120301,88.3,67.9,22.2,7.5,0.8,0,0,0,0,0,0
18.1,d_20120401,82,46,10.5,3.8,0,0,0,0,0,0,0
13.4,d_20120501,86.8,56.5,16.5,8.3,3.1,0,0,0,0,0,0
12.6,d_20120601,87.4,57.1,18.8,9.2,3.2,0,0,0,0,0,0
16.7,d_20120701,83.1,59.8,17.7,9,2.9,0,0.2,0,0,0,0
23.3,d_20120801,75.2,55,12.3,3.2,0.1,0,1.5,0,0,0,0
