Order Date,Order ID,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged
8/16/2020,111-4174752-0937051,UPS(1Z82F2320236205791),$9.13 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$9.13 
9/8/2020,111-0061212-1302619,AMZN_US(TBA142605203901),$25.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$25.99 
9/12/2020,111-5198249-9277867,AMZN_US(TBA147996221701),$210.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$210.00 
9/17/2020,111-1028111-8192214,UPS(1Z6A37870307472887),$22.98 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$22.98 
9/18/2020,113-4852245-9690635,USPS(9374889670090502725982),$15.98 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$15.98 
9/28/2020,113-2203851-8015450,AMZN_US(TBA012117878804),$99.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$99.99 
10/4/2020,111-7475924-7246617,AMZN_US(TBA018623088604),$65.98 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$65.98 
10/7/2020,113-8670371-0120209,AMZN_US(TBA020042832904),$26.33 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$26.33 
10/7/2020,112-1849120-1951462,AMZN_US(TBA020241409404),$49.98 ,$0.00 ,$0.00 ,$2.50 ,$0.00 ,$47.48 
10/16/2020,113-9592465-3781804,AMZN_US(TBA033465103704),$43.32 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$43.32 
10/21/2020,111-2241913-3117060,AMZN_US(TBA035033597204),$24.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$24.99 
10/21/2020,111-2241913-3117060,AMZN_US(TBA034957569904),$24.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$24.99 
10/24/2020,113-0706165-9148219,AMZN_US(TBA037823067604),$78.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$78.99 
11/4/2020,111-3570911-0327469,AMZN_US(TBA055563753404),$39.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$39.99 
11/11/2020,111-8052391-6983404,Yanwen(UF525454686YP),$18.48 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$18.48 
11/11/2020,111-1976704-2914624,AMZN_US(TBA055563753404),$54.90 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$54.90 
11/20/2020,113-3563369-5680257,AMZN_US(TBA065139634804),$47.35 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$47.35 
11/27/2020,114-3607100-8961013,USPS(9300120111405531838526),$19.99 ,$0.00 ,$0.00 ,$0.65 ,$0.00 ,$19.34 
11/30/2020,113-7644572-7873858,AMZN_US(TBA076671255804),$79.96 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$79.96 
11/30/2020,113-1725108-0498642,UPS(1ZY8F505YW17779495),$86.97 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$86.97 
11/30/2020,113-9775397-7032203,AMZN_US(TBA077555933404),$21.98 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$21.98 
11/30/2020,113-9775397-7032203,USPS(9361289718009381092774),$57.90 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$57.90 
12/3/2020,113-9767698-8710622,AMZN_US(TBA080872422704),$50.99 ,$0.00 ,$0.00 ,$2.55 ,$0.00 ,$48.44 
12/3/2020,111-9965341-9479410,AMZN_US(TBA089327110604),$33.98 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$33.98 
1/4/2021,111-4830076-4491463,"RABBIT(SpRSIOCvJZSnzjMSj4jh),RABBIT(SpRSIOCvJZNlStTRgt22)",$35.27 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$35.27 
1/4/2021,111-4018343-4971430,AMZN_US(TBA126409738104),$190.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$190.99 
1/10/2021,113-7187507-3074600,UPS(1Z21A88F0354182124),$25.70 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$25.70 
1/10/2021,113-7187507-3074600,USPS(9361289718009412811510),$18.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$18.00 
